id,latitude,longitude
5434281825,52.2166871,6.9003079
4248461538,52.2165971,6.9108164
4248461539,52.2166300,6.9103893
4248461540,52.2166564,6.9102811
4248461541,52.2167713,6.9110849
4248461542,52.2169087,6.9106919
4248461543,52.2170662,6.9110287
4248461544,52.2170047,6.9114218
4478080113,52.2167542,6.9103278
4478080114,52.2169167,6.9113345
8439515918,52.2170293,6.9112567
3147238152,52.2278252,6.9006163
3166350907,52.2279372,6.9003211
3729864405,52.2275661,6.9004209
4248426182,52.2277054,6.9001262
4478080115,52.2334937,6.9061432
4478080116,52.2333972,6.9061945
4478080117,52.2334710,6.9066208
4478080118,52.2336587,6.9062062
4478080119,52.2337103,6.9065987
4478080120,52.2336120,6.9066464
4478080121,52.2337125,6.9063837
4478080122,52.2334259,6.9064499
3166340867,52.2018318,6.9280525
3330079747,52.2016779,6.9282389
5323487428,52.2017333,6.9278015
4475824454,52.2185554,6.9268806
4475824455,52.2186509,6.9266446
4475824456,52.2184499,6.9268676
4475824457,52.2183603,6.9267411
4475824458,52.2182601,6.9264680
4475824459,52.2184810,6.9261200
4475824460,52.2183617,6.9263064
4475824461,52.2185287,6.9261366
4475824462,52.2186299,6.9262507
4475824463,52.2187409,6.9264575
4475824464,52.2185985,6.9267948
45755360,52.2183100,6.9295495
4475824447,52.2183834,6.9295464
4475824448,52.2182420,6.9295381
4475824450,52.2183897,6.9290963
4475824451,52.2181694,6.9290457
4475824452,52.2182145,6.9289660
4475824453,52.2182882,6.9289804
6356546524,52.2184650,6.9293502
6356546529,52.2184170,6.9292174
4475886018,52.2176718,6.9394081
4475886019,52.2176892,6.9391462
4475886020,52.2176036,6.9395510
4475886021,52.2174029,6.9395141
4475886022,52.2173912,6.9390416
4475886024,52.2173678,6.9394279
4475886025,52.2174325,6.9389124
4475886026,52.2176376,6.9389477
4475886027,52.2174860,6.9387958
4475886028,52.2175561,6.9396501
4475886029,52.2172951,6.9392898
4475886030,52.2177627,6.9392098
4475886031,52.2175547,6.9388016
4475886032,52.2174825,6.9396400
4478052189,52.2173369,6.9454958
4478052190,52.2172833,6.9453662
4478052191,52.2172590,6.9455844
4478052192,52.2172235,6.9451600
4478052193,52.2169523,6.9451927
4478052194,52.2169471,6.9454913
4478052195,52.2169812,6.9455867
4478052196,52.2168761,6.9453818
4478052197,52.2170553,6.9450049
4478052198,52.2171499,6.9457174
4478052199,52.2171264,6.9450235
4478052200,52.2170787,6.9457062
4478052176,52.2168836,6.9513264
4478052177,52.2168321,6.9511310
4478052178,52.2168122,6.9514111
4478052180,52.2165545,6.9515656
4478052181,52.2165278,6.9514667
4478052182,52.2165490,6.9510740
4478052183,52.2168092,6.9510343
4478052184,52.2164642,6.9512493
4478052185,52.2166384,6.9508833
4478052186,52.2167291,6.9517452
4478052187,52.2167112,6.9508971
4478052188,52.2166537,6.9516992
3113114689,52.2356148,6.8470073
4548524992,52.2409449,6.8430464
4548524993,52.2408311,6.8432631
4548524994,52.2406690,6.8433839
4548524995,52.2405742,6.8432844
4548524996,52.2404475,6.8427262
4548524997,52.2407396,6.8424399
4548524999,52.2405649,6.8425318
4548525000,52.2404538,6.8428763
4548525001,52.2407681,6.8433340
4548525002,52.2404771,6.8430667
4548555370,52.2355120,6.8466176
4548555372,52.2355824,6.8467906
4548555374,52.2356084,6.8468694
4548555375,52.2354834,6.8471910
4770322329,52.2409352,6.8427620
6231199362,52.2405492,6.8431330
6231199363,52.2405739,6.8431556
6231199364,52.2406400,6.8432164
6231199365,52.2406517,6.8432271
6231199366,52.2406286,6.8424816
6231199367,52.2407673,6.8426084
6231199368,52.2407605,6.8426023
6231199369,52.2408410,6.8426759
6231199370,52.2408604,6.8426936
6231199371,52.2408350,6.8425423
60665784,52.2385110,6.8499521
1581443106,52.2382535,6.8494860
1581443109,52.2381979,6.8502612
4548420042,52.2383851,6.8501920
4548420043,52.2382698,6.8502501
4548420044,52.2380134,6.8499791
4548420045,52.2381273,6.8494261
4548420046,52.2379933,6.8497837
4548420047,52.2379866,6.8496753
4548420048,52.2383615,6.8495572
4548420049,52.2381142,6.8501643
9310471638,52.2385164,6.8498202
3767234052,52.2376691,6.8842446
4476032147,52.2377190,6.8846223
4476032148,52.2378357,6.8843765
4476032149,52.2375140,6.8844662
4478093902,52.2415002,6.8830786
4478093903,52.2413639,6.8829100
4478093904,52.2413591,6.8833839
4478093905,52.2412029,6.8832323
4478093899,52.2406723,6.9168911
4478093900,52.2408610,6.9172040
4478093901,52.2409646,6.9167718
7671808144,52.2400544,6.9164004
7671840059,52.2407423,6.9171280
7671840060,52.2407399,6.9166587
7671840061,52.2407031,6.9170016
7671840062,52.2400739,6.9165785
7671857092,52.2401631,6.9167385
7671857109,52.2402349,6.9167427
7815255402,52.2401574,6.9166637
7815255403,52.2401398,6.9166457
